iter	Passed	Remaining
461	773	900
462	774	898
463	775	895
464	777	894
465	779	893
466	780	891
467	781	888
468	782	886
469	784	884
470	785	882
471	786	879
472	787	877
473	788	875
474	789	872
475	790	870
476	792	868
477	793	866
478	795	864
479	796	862
480	797	860
481	798	857
482	799	855
483	800	853
484	801	851
485	802	848
486	804	846
487	805	844
488	806	842
489	808	841
490	809	839
491	810	837
492	811	834
493	813	832
494	814	830
495	815	828
496	816	826
497	817	823
498	818	821
499	819	819
500	820	817
501	822	815
502	824	814
503	825	812
504	827	810
505	828	808
506	829	806
507	830	804
508	831	801
509	832	799
510	833	797
511	834	795
512	835	793
513	836	790
514	838	789
515	839	787
516	840	785
517	841	783
518	843	781
519	844	779
520	845	777
521	846	775
522	847	772
523	848	770
524	849	768
525	850	766
526	852	764
527	854	763
528	855	761
529	856	759
530	857	757
531	858	755
532	860	753
533	861	751
534	862	749
535	864	747
536	865	746
537	867	744
538	869	743
539	870	741
540	872	739
541	873	737
542	874	736
543	875	734
544	876	731
545	877	729
546	878	727
547	880	726
548	881	724
549	884	723
550	885	721
551	886	719
552	888	717
553	889	716
554	890	714
555	891	712
556	893	710
557	894	708
558	896	706
559	897	705
560	899	704
561	901	702
562	902	700
563	903	698
564	904	696
565	905	694
566	907	692
567	908	690
568	909	689
569	911	687
570	912	685
571	914	684
572	916	683
573	919	682
574	920	680
575	922	678
576	923	677
577	924	675
578	926	673
579	927	671
580	930	671
581	931	669
582	932	667
583	934	665
584	935	663
585	936	661
586	937	659
587	938	657
588	939	655
589	941	653
590	942	652
591	946	652
592	947	650
593	949	648
594	950	646
595	951	645
596	952	643
597	953	641
598	954	639
599	956	637
600	957	635
601	959	634
602	961	633
603	963	631
604	964	629
605	965	628
606	967	626
607	968	624
608	969	622
609	970	620
610	971	618
611	972	616
612	974	615
613	976	613
614	977	612
615	979	610
616	980	608
617	981	606
618	982	604
619	983	603
620	985	601
621	986	599
622	987	597
623	988	595
624	991	594
625	992	592
626	993	591
627	994	589
628	996	587
629	997	585
630	998	583
631	999	581
632	1000	580
633	1001	578
634	1002	576
635	1004	574
636	1007	573
637	1008	572
638	1009	570
639	1010	568
640	1011	566
641	1013	565
642	1014	563
643	1015	561
644	1017	559
645	1020	559
646	1022	557
647	1024	556
648	1025	554
649	1027	553
650	1028	551
651	1029	549
652	1031	548
653	1032	546
654	1034	544
655	1037	544
656	1039	542
657	1040	540
658	1041	539
659	1042	537
660	1044	535
661	1045	533
662	1046	532
663	1048	530
664	1049	528
665	1052	527
666	1054	526
667	1055	524
668	1056	522
669	1057	520
670	1059	519
671	1060	517
672	1062	516
673	1064	515
674	1067	514
675	1069	512
676	1070	510
677	1073	509
678	1074	508
679	1076	506
680	1077	504
681	1079	503
682	1083	502
683	1084	501
684	1086	499
685	1087	497
686	1088	496
687	1089	494
688	1090	492
689	1091	490
690	1093	488
691	1094	487
692	1100	487
693	1106	487
694	1107	486
695	1108	484
696	1110	482
697	1111	480
698	1113	479
699	1115	478
700	1117	476
701	1118	474
702	1119	473
703	1120	471
704	1122	469
705	1123	467
706	1124	466
707	1126	464
708	1127	462
709	1129	461
710	1134	460
711	1136	459
712	1137	457
713	1138	456
714	1140	454
715	1141	452
716	1146	452
717	1148	450
718	1151	449
719	1153	448
720	1154	446
721	1157	445
722	1160	444
723	1162	443
724	1164	441
725	1165	440
726	1167	438
727	1168	436
728	1170	434
729	1171	433
730	1173	431
731	1176	430
732	1177	428
733	1178	427
734	1179	425
735	1181	423
736	1183	422
737	1185	420
738	1187	419
739	1188	417
740	1191	416
741	1192	414
742	1194	413
743	1196	411
744	1198	410
745	1199	408
746	1200	406
747	1202	404
748	1203	403
749	1206	402
750	1207	400
751	1209	398
752	1210	397
753	1211	395
754	1212	393
755	1213	391
756	1215	390
757	1216	388
758	1218	386
759	1219	385
760	1221	383
761	1223	381
762	1224	380
763	1225	378
764	1226	376
765	1227	375
766	1229	373
767	1232	372
768	1234	370
769	1237	369
770	1239	368
771	1240	366
772	1241	364
773	1242	362
774	1244	361
775	1245	359
776	1246	357
777	1247	356
778	1249	354
779	1251	352
780	1252	351
781	1254	349
782	1255	347
783	1256	346
784	1257	344
785	1259	342
786	1260	341
787	1262	339
788	1263	337
789	1264	336
790	1266	334
791	1268	333
792	1269	331
793	1270	329
794	1272	328
795	1273	326
796	1274	324
797	1275	322
798	1276	321
799	1277	319
800	1278	317
801	1280	316
802	1282	314
803	1283	312
804	1284	311
805	1285	309
806	1286	307
807	1287	306
808	1289	304
809	1290	302
810	1291	301
811	1292	299
812	1293	297
813	1294	295
814	1297	294
815	1298	292
816	1300	291
817	1301	289
818	1302	287
819	1303	286
820	1304	284
821	1305	282
822	1307	281
823	1308	279
824	1309	277
825	1313	276
826	1314	274
827	1315	273
828	1317	271
829	1318	270
830	1319	268
831	1321	266
832	1322	265
833	1324	263
834	1325	261
835	1329	260
836	1330	259
837	1331	257
838	1332	255
839	1333	254
840	1335	252
841	1336	250
842	1338	249
843	1339	247
844	1340	245
845	1341	244
846	1343	242
847	1344	241
848	1345	239
849	1346	237
850	1347	235
851	1349	234
852	1350	232
853	1351	231
854	1352	229
855	1353	227
856	1354	226
857	1356	224
858	1359	223
859	1360	221
860	1361	219
861	1362	218
862	1363	216
863	1364	214
864	1365	213
865	1366	211
866	1367	209
867	1368	208
868	1370	206
869	1373	205
870	1375	203
871	1376	202
872	1377	200
873	1379	198
874	1380	197
875	1381	195
876	1382	193
877	1383	192
878	1384	190
879	1385	188
880	1389	187
881	1390	186
882	1392	184
883	1393	182
884	1394	181
885	1395	179
886	1396	177
887	1397	176
888	1398	174
889	1400	173
890	1401	171
891	1402	169
892	1404	168
893	1405	166
894	1406	164
895	1407	163
896	1408	161
897	1409	160
898	1410	158
899	1411	156
900	1412	155
901	1414	153
902	1415	152
903	1416	150
904	1418	148
905	1420	147
906	1421	145
907	1422	144
908	1423	142
909	1424	140
910	1425	139
911	1427	137
912	1428	136
913	1429	134
914	1431	132
915	1433	131
916	1434	129
917	1436	128
918	1437	126
919	1438	125
920	1439	123
921	1440	121
922	1441	120
923	1442	118
924	1444	117
925	1445	115
926	1447	113
927	1448	112
928	1450	110
929	1451	109
930	1452	107
931	1453	106
932	1454	104
933	1456	102
934	1457	101
935	1458	99
936	1459	98
937	1460	96
938	1461	94
939	1462	93
940	1464	91
941	1465	90
942	1467	88
943	1468	87
944	1469	85
945	1470	83
946	1471	82
947	1472	80
948	1473	79
949	1474	77
950	1475	76
951	1476	74
952	1477	72
953	1479	71
954	1480	69
955	1481	68
956	1483	66
957	1484	65
958	1485	63
959	1486	61
960	1487	60
961	1488	58
962	1489	57
963	1490	55
964	1491	54
965	1492	52
966	1493	50
967	1495	49
968	1496	47
969	1497	46
970	1498	44
971	1499	43
972	1501	41
973	1502	40
974	1503	38
975	1504	36
976	1505	35
977	1506	33
978	1507	32
979	1510	30
980	1512	29
981	1513	27
982	1515	26
983	1516	24
984	1517	23
985	1518	21
986	1519	20
987	1521	18
988	1522	16
989	1523	15
990	1526	13
991	1527	12
992	1528	10
993	1529	9
994	1530	7
995	1532	6
996	1533	4
997	1534	3
998	1535	1
999	1536	0
